node1,node2,trail,distance,color,estimate
vertice1,vertice2,rua,44.54,red,1
vertice1,vertice45,rua,98.64,red,1
vertice2,vertice3,rua,80.5,red,1
vertice2,vertice40,rua,96.0,red,1
vertice3,vertice35,rua,96.5,red,1
vertice3,vertice4,rua,88.0,red,1
vertice4,vertice5,rua,79.5,red,1
vertice4,vertice30,rua,96.5,red,1
vertice5,vertice6,rua,133.3,red,1
vertice5,vertice29,rua,96.5,red,1
vertice6,vertice7,rua,78.3,red,1
vertice6,vertice13,rua,95.0,red,1
vertice7,vertice8,rua,80.0,red,1
vertice7,vertice12,rua,95.0,red,1
vertice8,vertice9,rua,49.0,red,1
vertice8,vertice10,rua,94.0,red,1
vertice19,vertice18,rua,78.3,red,1
vertice16,vertice15,rua,80.11,red,1
vertice15,vertice12,rua,136.38,red,1
vertice15,vertice18,rua,69.0,red,1
vertice15,vertice14,rua,78.41,red,1
vertice14,vertice19,rua,73.84,red,1
vertice19,vertice20,rua,86.0,red,1
vertice19,vertice22,rua,81.3,red,1
vertice22,vertice26,rua,80.0,red,1
vertice21,vertice17,rua,87.0,red,1
vertice21,vertice27,rua,80.0,red,1
vertice27,vertice26,rua,86.0,red,1
vertice27,vertice28,rua,203.0,red,1
vertice27,vertice33,rua,79.5,red,1
vertice26,vertice32,rua,79.5,red,1
vertice26,vertice25,rua,84.42,red,1
vertice32,vertice33,rua,86.0,red,1
vertice33,vertice34,rua,240.52,red,1
vertice32,vertice31,rua,88.68,red,1
vertice32,vertice37,rua,80.0,red,1
vertice31,vertice36,rua,80.1,red,1
vertice36,vertice37,rua,93.61,red,1
vertice23,vertice24,rua,105.54,red,1
vertice23,vertice14,rua,81.42,red,1
vertice14,vertice13,rua,131.54,red,1
vertice13,vertice12,rua,78.3,red,1
vertice12,vertice10,rua,80.0,red,1
vertice10,vertice11,rua,105.6,red,1
vertice10,vertice16,rua,153.39,red,1
vertice37,vertice38,rua,86.0,red,1
vertice38,vertice39,rua,199.9,red,1
vertice37,vertice42,rua,80.5,red,1
vertice38,vertice43,rua,80.5,red,1
vertice36,vertice41,rua,80.62,red,1
vertice43,vertice44,rua,153.6,red,1
vertice42,vertice43,rua,86.0,red,1
vertice41,vertice42,rua,98.57,red,1
vertice46,vertice41,rua,44.4,red,1
vertice47,vertice42,rua,66.7,red,1
vertice48,vertice43,rua,80.5,red,1
vertice45,vertice46,rua,98.65,red,1
vertice46,vertice47,rua,97.52,red,1
vertice47,vertice48,rua,87.06,red,1
vertice48,vertice49,rua,158.6,red,1
vertice47,vertice52,rua,71.86,red,1
vertice52,vertice51,rua,111.0,red,1
vertice48,vertice51,rua,84.73,red,1
vertice51,vertice50,rua,147.0,red,1
vertice51,vertice54,rua,120.14,red,1
vertice54,vertice53,rua,118.0,red,1
vertice46,vertice55,rua,117.4,red,1
vertice45,vertice40,rua,49.36,red,1
vertice40,vertice35,rua,80.5,red,1
vertice40,vertice41,rua,103.56,red,1
vertice35,vertice36,rua,105.63,red,1
vertice35,vertice30,rua,80.1,red,1
vertice30,vertice29,rua,79.5,red,1
vertice30,vertice31,rua,110.56,red,1
vertice29,vertice25,rua,114.92,red,1
vertice25,vertice23,rua,80.1,red,1
vertice55,vertice57,vertice58,rua,189.2,red,1
vertice55,vertice56,rua,117.8,red,1
vertice55,vertice57,vertice59,rua,152.0,red,1
vertice56,vertice60,rua,67.3,red,1
vertice60,vertice61,rua,65.0,red,1
vertice60,vertice63,rua,61.7,red,1
vertice61,vertice62,rua,38.1,red,1
vertice63,vertice64,rua,385.87,red,1
vertice64,vertice65,rua,391.48,red,1
vertice65,vertice1,rua,149.72,red,1
vertice31,vertice25,rua,79.60,red,1
vertice23,vertice22,rua,80.48,red,1
vertice22,vertice21,rua,86.00,red,1
vertice21,vertice20,rua,81.30,red,1
vertice33,vertice38,rua,80.00,red,1
vertice54,vertice56,rua,171.66,red,1
vertice60,vertice61,vertice62,rua,103.1,1
